Date,Open,High,Low,Close,Volume,Adj Close
2010-04-21,5783.70,5797.00,5721.30,5723.40,1148942700,5723.40
2010-04-20,5727.90,5796.60,5727.90,5783.70,1081125900,5783.70
2010-04-19,5744.00,5748.30,5697.20,5727.90,000,5727.90
2010-04-16,5825.00,5833.70,5726.40,5744.00,1635028400,5744.00
2010-04-15,5796.30,5832.30,5778.40,5825.00,1030614900,5825.00
2010-04-14,5761.70,5812.80,5761.70,5796.30,868813400,5796.30
2010-04-13,5777.60,5778.90,5741.90,5761.70,669420600,5761.70
2010-04-12,5771.00,5803.70,5755.80,5777.60,595469400,5777.60
2010-04-09,5712.70,5773.60,5712.70,5771.00,704070200,5771.00
2010-04-08,5762.10,5762.10,5684.50,5712.70,820356500,5712.70
2010-04-07,5780.40,5782.30,5753.40,5762.10,829276800,5762.10
2010-04-06,5744.90,5790.40,5744.60,5780.40,845779000,5780.40
2010-04-01,5679.60,5744.90,5679.50,5744.90,807719800,5744.90
2010-03-31,5672.30,5698.50,5646.30,5679.60,1105283600,5679.60
2010-03-30,5710.70,5742.80,5662.80,5672.30,931017300,5672.30
2010-03-29,5703.00,5733.10,5684.60,5710.70,1015977000,5710.70
2010-03-26,5727.60,5727.60,5695.50,5703.00,1031531000,5703.00
2010-03-25,5677.90,5737.10,5673.10,5727.60,1099778200,5727.60
2010-03-24,5673.60,5698.90,5636.00,5677.90,1118839900,5677.90
2010-03-23,5644.50,5695.90,5644.50,5673.60,969327500,5673.60
2010-03-22,5650.10,5650.10,5583.50,5644.50,886165600,5644.50
2010-03-19,5642.60,5691.20,5633.50,5650.10,2489585600,5650.10
2010-03-18,5644.60,5661.00,5619.20,5642.60,921528600,5642.60
2010-03-17,5620.40,5657.80,5620.40,5644.60,930987100,5644.60
2010-03-16,5593.90,5637.70,5593.90,5620.40,885420100,5620.40
2010-03-15,5625.60,5627.00,5588.20,5593.90,818311100,5593.90
2010-03-12,5617.30,5646.70,5612.40,5625.60,1294493800,5625.60
2010-03-11,5640.60,5642.90,5594.70,5617.30,889912800,5617.30
2010-03-10,5602.30,5645.30,5585.40,5640.60,998243800,5640.60
2010-03-09,5606.70,5618.40,5563.10,5602.30,993738300,5602.30
2010-03-08,5599.80,5621.10,5579.20,5606.70,838200600,5606.70
2010-03-05,5527.20,5605.40,5527.20,5599.80,1002183400,5599.80
2010-03-04,5533.20,5544.20,5501.10,5527.20,1077937200,5527.20
2010-03-03,5484.10,5541.80,5465.30,5533.20,1111148600,5533.20
2010-03-02,5405.90,5485.00,5403.70,5484.10,1218498600,5484.10
2010-03-01,5354.50,5420.80,5354.50,5405.90,1423914400,5405.90
2010-02-26,5278.20,5367.80,5278.20,5354.50,1700847600,5354.50
2010-02-25,5342.90,5370.40,5259.70,5278.20,1951587200,5278.20
2010-02-24,5315.10,5357.90,5298.20,5342.90,953921100,5342.90
2010-02-23,5352.10,5395.50,5302.00,5315.10,1063966400,5315.10
2010-02-22,5358.20,5387.00,5348.10,5352.10,968763600,5352.10
2010-02-19,5325.10,5366.10,5281.40,5358.20,1469030900,5358.20
2010-02-18,5276.60,5326.40,5261.70,5325.10,966348700,5325.10
2010-02-17,5244.10,5304.50,5244.10,5276.60,1206035400,5276.60
2010-02-16,5167.50,5248.10,5167.50,5244.10,1098381900,5244.10
2010-02-15,5142.50,5194.30,5142.50,5167.50,591532700,5167.50
2010-02-12,5161.50,5207.70,5117.40,5142.50,1285903200,5142.50
2010-02-11,5132.00,5201.80,5114.50,5161.50,1565807100,5161.50
2010-02-10,5111.80,5181.20,5105.30,5132.00,1209909900,5132.00
2010-02-09,5092.30,5132.90,5084.80,5111.80,1284674000,5111.80
2010-02-08,5060.90,5118.10,5033.00,5092.30,1326821000,5092.30
2010-02-05,5139.30,5139.30,5033.80,5060.90,1930760000,5060.90
2010-02-04,5253.10,5262.20,5123.90,5139.30,1726997200,5139.30
